Partij,1956,1959,1963,1965,1967,1971,1972,1977,1981,1982,1986,1989,1994,1998
PvdA,50,48,43,43,37,39,43,53,44,47,52,49,37,45
KVP,49,49,50,50,42,35,27,,,,,,,
ARP,15,14,13,13,15,13,14,,,,,,,
CHU,13,12,13,13,12,10,7,,,,,,,
CDA,,,,,,,,49,48,45,54,54,34,29
VVD,13,19,16,16,17,16,22,28,26,36,27,22,31,38
CPN,7,3,4,4,5,6,7,2,3,3,,,,
SGP,3,3,3,3,3,3,3,3,3,3,3,3,2,3
PSP,,2,4,4,4,2,2,1,3,3,1,,,
Boerenpartij,,,3,3,7,1,3,1,,,,,,
GPV,,,1,1,1,2,2,1,1,1,1,2,2,2
Dâ€™66,,,,,7,11,6,8,17,6,9,12,24,14
DS '70,,,,,,8,6,1,,,,,,
PPR,,,,,,2,7,3,3,2,2,,,
NMP,,,,,,2,,,,,,,,
RKPN,,,,,,,1,,,,,,,
RPF,,,,,,,,,2,2,1,1,3,3
EVP,,,,,,,,,,1,,,,
CP,,,,,,,,,,1,,,,
GroenLinks,,,,,,,,,,,,6,5,11
CD,,,,,,,,,,,,1,3,
AOV,,,,,,,,,,,,,6,
SP,,,,,,,,,,,,,2,5
Unie 55+,,,,,,,,,,,,,1,
Totaal,150,150,150,150,150,150,150,150,150,150,150,150,150,150
